Code,ID,Replicate,Site,Day,Month,Year,Date,Latitude,Longitude,Zone,Type,Depth,Surveyors,Reef,Acanthastrea,Acropora,Alveopora,Astreopora,Caulastraea,Coscinaraea,Cyphastrea,Dendrophyllia,Diploastrea,Echinophyllia,Echinopora,Euphyllia,Favia,Favites,Fungia,Galaxea,Gardineroseris,Goniastrea,Goniopora,Heliofungia,Heliopora,Herpolitha,Hydnophora,Leptastrea,Leptoria,Leptoseris,Lithophyllon,Lobophyllia,Madracis,Merulina,Millepora,Montastraea,Montipora,Mycedium,Oulastrea,Oulophyllia,Oxypora,Pachyseris,Pavona,Pectinia,Physogyra,Platygyra,Plerogyra,Plesiastrea,Pocillopora,Podabacia,Polyphyllia,Porites,Psammocora,Pseudosiderastrea,Scapophyllia,Stylocoeniella,Symphyllia,Trachyphyllia,Tubastraea,Turbinaria,Unknown
LZ-E-D6-1997-9-29-T2,SGTMS0015-2,2,LZ-E,29,9,1997,29/9/1997,1.221944444,103.8591667,Slope,Fringing,6,REST,Lazarus Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
LZ-E-D6-1997-9-29-T3,SGTMS0015-3,3,LZ-E,29,9,1997,29/9/1997,1.221944444,103.8591667,Slope,Fringing,6,REST,Lazarus Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
LZ-E-D6-1997-9-29-T4,SGTMS0015-4,4,LZ-E,29,9,1997,29/9/1997,1.221944444,103.8591667,Slope,Fringing,6,REST,Lazarus Island,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LZ-W-D0-1990-8-21-T1,SGRET2001-1,1,LZ-W,21,8,1990,21/8/1990,1.224166667,103.8508333,Slope,Fringing,0,REST,Lazarus Island,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,100,56,0,0,0,0,0,0,0,0,0,0,160,0,0,65,5,0,0,115,67,0,254,0,0,0,0,0,0,0,60,45,0,0,0,0,0,12,0,0
LZ-W-D0-1990-8-21-T2,SGRET2001-2,2,LZ-W,21,8,1990,21/8/1990,1.224166667,103.8508333,Slope,Fringing,0,REST,Lazarus Island,0,33,0,0,0,0,0,0,196,0,0,0,0,0,0,51,0,214,0,0,0,0,0,0,0,0,0,8,0,189,0,0,30,0,0,0,0,160,0,83,0,32,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
LZ-W-D0-1990-8-21-T3,SGRET2001-3,3,LZ-W,21,8,1990,21/8/1990,1.224166667,103.8508333,Slope,Fringing,0,REST,Lazarus Island,0,0,0,0,0,0,0,0,163,0,84,221,0,0,0,92,0,103,32,0,0,0,34,0,0,0,17,0,0,238,0,0,0,0,0,0,0,0,0,147,0,52,0,0,0,0,0,158,40,0,0,0,0,0,0,0,0
LZ-W-D0-1990-8-21-T4,SGRET2001-4,4,LZ-W,21,8,1990,21/8/1990,1.224166667,103.8508333,Slope,Fringing,0,REST,Lazarus Island,0,0,0,0,0,0,0,0,0,0,70,35,0,40,0,0,0,85,0,0,0,0,118,0,0,0,0,0,0,384,0,20,50,0,0,0,0,0,0,362,0,0,0,0,0,0,0,82,158,0,0,0,0,0,0,160,0
LZ-W-D0-1990-8-21-T5,SGRET2001-5,5,LZ-W,21,8,1990,21/8/1990,1.224166667,103.8508333,Slope,Fringing,0,REST,Lazarus Island,0,261,0,0,0,0,0,0,0,0,0,0,0,0,16,21,0,74,0,0,0,0,60,0,0,0,0,0,0,253,0,0,0,0,0,0,39,19,0,129,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
LZ-W-D0-1992-5-5-T3,SGRET2048-3,3,LZ-W,5,5,1992,5/5/1992,1.224166667,103.8508333,Crest,Fringing,0,REST,Lazarus Island,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LZ-W-D0-1993-8-16-T1,SGRET2095-1,1,LZ-W,16,8,1993,16/8/1993,1.224166667,103.8508333,Crest,Fringing,0,REST,Lazarus Island,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,16,0,0,0,0,12,0,129,0,0,0,0,0,0,23,0,0,55,0,109,0,0,0,0,0,101,0,0,0,0,25,0,0,0,0
LZ-W-D0-1993-8-16-T2,SGRET2095-2,2,LZ-W,16,8,1993,16/8/1993,1.224166667,103.8508333,Crest,Fringing,0,REST,Lazarus Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
