Code,ID,Location,Site,Day,Month,Year,Date,Latitude,Longitude,Zone,Type,Depth,Replicate,Surveyors,Acanthastrea,Acropora,Alveopora,Astreopora,Caulastraea,Cladopsammia,Coscinaraea,Ctenactis,Cycloseris,Cyphastrea,Diploastrea,Dipsastraea,Echinophyllia,Echinopora,Euphyllia,Favites,Fungia,Galaxea,Goniastrea,Goniopora,Heliofungia,Heliopora,Herpolitha,Hydnophora,Isopora,Leptastrea,Leptoria,Leptoseris,Lithophyllon,Lobactis,Lobophyllia,Madracis,Merulina,Micromussa,Millepora,Montipora,Mycedium,Oulastrea,Oulophyllia,Oxypora,Pachyseris,Pavona,Pectinia,Physogyra,Platygyra,Plerogyra,Plesiastrea,Pleuractis,Pocillopora,Podabacia,Polyphyllia,Porites,Psammocora,Pseudosiderastrea,Scapophyllia,Stylocoeniella,Trachyphyllia,Tubastraea,Turbinaria,Unknown
CY-S-D0-1991-12-11-T2,SGRET2021-2,Cyrene Reef,CY-S,11,12,1991,11/12/1991,1.257222222,103.7533333,Slope,Patch,0,2,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY-S-D0-1991-12-11-T4,SGRET2021-4,Cyrene Reef,CY-S,11,12,1991,11/12/1991,1.257222222,103.7533333,Slope,Patch,0,4,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY-S-D0-1991-12-11-T5,SGRET2021-5,Cyrene Reef,CY-S,11,12,1991,11/12/1991,1.257222222,103.7533333,Slope,Patch,0,5,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY-S-D3-1991-11-21-T1,SGRET2022-1,Cyrene Reef,CY-S,21,11,1991,21/11/1991,1.257222222,103.7533333,Slope,Patch,3,1,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,7,0,0,0,78,22,78,0,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
CY-S-D3-1991-11-21-T2,SGRET2022-2,Cyrene Reef,CY-S,21,11,1991,21/11/1991,1.257222222,103.7533333,Slope,Patch,3,2,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY-S-D3-1991-11-21-T3,SGRET2022-3,Cyrene Reef,CY-S,21,11,1991,21/11/1991,1.257222222,103.7533333,Slope,Patch,3,3,REST,0,0,0,0,0,0,0,0,0,14,47,45,0,0,0,43,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY-S-D3-1991-11-21-T4,SGRET2022-4,Cyrene Reef,CY-S,21,11,1991,21/11/1991,1.257222222,103.7533333,Slope,Patch,3,4,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,36,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
CY-S-D3-1991-11-21-T5,SGRET2022-5,Cyrene Reef,CY-S,21,11,1991,21/11/1991,1.257222222,103.7533333,Slope,Patch,3,5,REST,0,0,0,0,0,0,0,0,0,26,0,21,0,18,0,14,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,31,0,0,40,0,0,0,0,0
CY-S-D6-1991-12-11-T1,SGRET2023-1,Cyrene Reef,CY-S,11,12,1991,11/12/1991,1.257222222,103.7533333,Slope,Patch,6,1,REST,0,0,0,0,0,0,0,0,0,0,30,0,0,19,11,21,0,0,27,0,0,0,23,0,0,0,0,0,0,0,0,0,20,0,0,25,0,0,0,12,32,0,124,0,28,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
CY-S-D6-1991-12-11-T2,SGRET2023-2,Cyrene Reef,CY-S,11,12,1991,11/12/1991,1.257222222,103.7533333,Slope,Patch,6,2,REST,0,0,0,0,0,0,0,32,0,0,0,13,0,24,0,0,0,0,16,0,0,0,0,0,0,0,0,0,27,0,0,0,16,0,0,0,31,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
