"","spp","modgen","pastgen","RDB3.status","First.known","Last.known","grow","n.grow","sd.grow","skel","n.skel","sd.skel","calc","n.calc","sd.calc","corwidth","n.corwidth","cmd","n.cmd","col","repmode","sex","symb","branching","encrusting","laminar","massive","submassive","lifehist","iucn"
"78","Montipora mollis","Montipora","Montipora","LC","1985 (ZRC, 19850701)","2019 (Chow et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,2,NA,NA,"colonial","spawner","hermaphrodite","yes",0,1,0,1,1,NA,"LC"
"79","Montipora monasteriata","Montipora","Montipora","LC","1881 (Studer)","2020 (Ng et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,2,NA,NA,"colonial","spawner","hermaphrodite","yes",0,1,1,1,0,"generalist","LC"
"80","Montipora peltiformis","Montipora","Montipora","DD","1985 (ZRC, 19850805)","1985 (ZRC, 19850805)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2,NA,NA,"colonial","spawner","hermaphrodite","yes",0,1,0,0,2,NA,"NT"
"81","Montipora spongodes","Montipora","Montipora","DD","1986 (ZRC, 19850719)","2009 (Huang et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05,2,NA,NA,"colonial",NA,NA,NA,0,1,1,0,1,NA,"LC"
"82","Montipora spumosa","Montipora","Montipora","DD","1986 (ZRC, 19860418)","2009 (Huang et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2,NA,NA,"colonial","spawner","hermaphrodite","yes",0,1,1,0,1,NA,"LC"
"83","Montipora stellata","Montipora","Montipora","LC","1956 (as Montipora solanderi; Purchon)","2020 (Ng et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,2,NA,NA,"colonial","spawner","hermaphrodite","yes",0,0,1,0,1,NA,"LC"
"84","Montipora tuberculosa","Montipora","Montipora","NT","1985 (ZRC, 19850721)","2020 (Ng et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2,NA,NA,"colonial","spawner","hermaphrodite","yes",0,0,1,1,0,NA,"LC"
"85","Montipora turgescens","Montipora","Montipora","DD","1985 (ZRC, 19850510)","2021 (Lee et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,2,NA,NA,"colonial","spawner","hermaphrodite","yes",0,1,0,1,1,NA,"LC"
"86","Montipora undata","Montipora","Montipora","VU","1985 (ZRC, 19850802)","2019 (Chow et al)",26,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,"colonial",NA,NA,NA,0,1,1,0,1,NA,"NT"
"87","Montipora venosa","Montipora","Montipora","DD","1995 (Loo & Chou)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,2,NA,NA,"colonial","spawner","hermaphrodite","yes",0,0,0,1,0,"stress-tolerant","NT"
"88","Montipora verrucosa","Montipora","Montipora","LC","1992 (ZRC, 199203)","2018 (Wong et al)",27.6511538461538,13,11.4061450499075,NA,NA,NA,NA,NA,NA,1.1,2,NA,NA,"colonial","spawner","hermaphrodite","yes",0,0,1,0,2,"generalist","LC"
"89","Leptoseris explanata","Leptoseris","Leptoseris","VU","1987 (ZRC, 19870418)","2020 (Kikuzawa et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,2,NA,NA,"colonial","spawner",NA,NA,0,1,1,0,0,NA,"LC"
"90","Leptoseris hawaiiensis","Leptoseris","Leptoseris","DD","1987 (ZRC, 19870212)","1987 (ZRC, 19870212)",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,2,NA,NA,"colonial",NA,NA,NA,0,1,0,0,1,NA,"LC"
"91","Leptoseris scabra","Leptoseris","Leptoseris","DD","1988 (ZRC, 19881206)","2020 (Ng et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.05,2,NA,NA,"colonial",NA,NA,NA,0,1,0,0,1,NA,"LC"
"92","Gardineroseris planulata","Gardineroseris","Gardineroseris","DD","1995 (as Gardineroseris sp.; Loo & Chou)","1995 (as Gardineroseris sp.; Loo & Chou)",9.9,3,3.57631094844953,1.63,1,NA,NA,NA,NA,3.2,2,NA,NA,"colonial","spawner","gonochore","no",0,1,1,1,0,"stress-tolerant","LC"
"93","Pavona cactus","Pavona","Pavona","VU","1878 (as Leptoseris venusta; Brüggemann)","2020 (Kikuzawa et al)",37.925,3,8.68971950065133,NA,NA,NA,NA,NA,NA,1.2,2,1000,1,"colonial","spawner","gonochore",NA,0,0,1,0,1,NA,"VU"
