spp,modgen,pastgen,grow,n.grow,sd.grow,skel,n.skel,sd.skel,calc,n.calc,sd.calc,corwidth,n.corwidth,cmd,n.cmd,col,repmode,sex,symb,branching,encrusting,laminar,massive,submassive,competitive,stress-tolerant,weedy,generalist,datadeficient,iucnLC,iucnNT,iucnVU,iucnEN,iucnDD,rdb3lc,rdb3nt,rdb3vu,rdb3en,rdb3cr,rdb3nex,rdb3dd,First.known.year,First.known,Last.known.year,Last.known
Goniopora tenuidens,Goniopora,Goniopora,NA,NA,NA,0.99,1,NA,NA,NA,NA,NA,NA,15,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2018,(Wong et al),2020,(Ng et al)
Heliofungia actiniformis,Heliofungia,Heliofungia,5.76,1,NA,NA,NA,NA,NA,NA,NA,142,1,20,1,0,1,NA,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1890, (record consolidated by Hoeksema & Koh 2009),2020,(Prasetia et al)
Herpolitha limax,Herpolitha,Herpolitha,10,1,NA,NA,NA,NA,NA,NA,NA,370,1,52,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1860, (record consolidated by Hoeksema & Koh 2009),2020,(Prasetia et al)
Homophyllia bowerbanki,Homophyllia,Acanthastrea,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,2,200,2,1,1,NA,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1995,(as Acanthastrea hillae; Loo & Chou),2009,(Huang et al)
Hydnophora exesa,Hydnophora,Hydnophora,34.7,2,NA,1,1,NA,3.48,1,NA,3.75,2,200,2,1,1,1,0,0,2,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1881,(Studer),2020,(Kikuzawa et al)
Hydnophora grandis,Hydnophora,Hydnophora,NA,NA,NA,1.4,1,NA,NA,NA,NA,4,2,120,1,1,1,NA,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2018,(Wong et al),2020,(Kikuzawa et al)
Hydnophora microconos,Hydnophora,Hydnophora,8.9,2,3.676955262,1.37,1,NA,0.825,2,NA,5.4,2,NA,NA,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1977,(Chuang),2017,(BioBlitz_SIMP2017)
Hydnophora rigida,Hydnophora,Hydnophora,52.2,3,NA,1.38,1,NA,2.88,1,NA,5.7,2,50,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1881,(Studer),2020,(Lim et al)
Isopora brueggemanni,Isopora,Acropora,74.8,1,NA,NA,NA,NA,NA,NA,NA,1.3,2,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1956,(as Acropora brueggemanni; Purchon),1995,(Loo & Chou)
Isopora palifera,Isopora,Acropora,NA,NA,NA,1.52,1,NA,NA,NA,NA,1.05,2,NA,NA,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1991,"(ZRC.1991.596, Huang et al)",1991,"(ZRC.1991.596, Huang et al)"
Leptastrea purpurea,Leptastrea,Leptastrea,1.8,1,NA,1.54,2,NA,0.285,2,NA,5.9,2,100,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1977,(Chuang),2021,(Lee et al)
Leptastrea transversa,Leptastrea,Leptastrea,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,2,NA,NA,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1985,"(ZRC, 19850726)",2021,(Lee et al)
Leptoria phrygia,Leptoria,Leptoria,10.6,1,NA,1.245,2,NA,0.93,1,NA,3.05,2,150,1,1,1,1,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1956,(Purchon),2018,(Wong et al)
Leptoseris explanata,Leptoseris,Leptoseris,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,2,25,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1987,"(ZRC, 19870418)",2020,(Kikuzawa et al)
Leptoseris hawaiiensis,Leptoseris,Leptoseris,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,2,NA,NA,1,1,NA,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1987,"(ZRC, 19870212)",1987,"(ZRC, 19870212)"
Leptoseris scabra,Leptoseris,Leptoseris,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.05,2,NA,NA,1,1,NA,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1988,"(ZRC, 19881206)",2020,(Ng et al)
Lithophyllon concinna,Lithophyllon,Fungia,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,1,25,5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1860, (record consolidated by Hoeksema & Koh 2009),2020,(Prasetia et al)
Lithophyllon repanda,Lithophyllon,Fungia,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,2,30,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1860, (record consolidated by Hoeksema & Koh 2009),2020,(Prasetia et al)
Lithophyllon scabra,Lithophyllon,Fungia,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,1,20,1,0,1,NA,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1860, (record consolidated by Hoeksema & Koh 2009),2020,(Prasetia et al)
Lithophyllon undulatum,Lithophyllon,Lithophyllon,4.4,1,NA,1.61,1,NA,0.7,1,NA,3.7,2,60,2,1,1,NA,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1986,91 (record consolidated by Hoeksema & Koh 2009),2020,(Lim et al)
Lobactis scutaria,Lobactis,Fungia,9.3,4,5.324784816,NA,NA,NA,NA,NA,NA,169,1,17,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1881,(Studer),1995,(Loo & Chou)
Lobophyllia agaricia,Lobophyllia,Symphyllia,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.75,2,80,1,1,1,NA,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1881,(as Symphyllia indica; Studer),2020,(Kikuzawa et al)
Lobophyllia corymbosa,Lobophyllia,Lobophyllia,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.33333333,3,200,2,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1986,"(ZRC, 19860506)",2020,(Lim et al)
Lobophyllia flabelliformis,Lobophyllia,Lobophyllia,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.2,2,200,1,1,1,NA,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2019,(Chow et al),2020,(Ng et al)
Lobophyllia hataii,Lobophyllia,Lobophyllia,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.5,2,25,1,1,1,NA,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1986,"(ZRC, 19860506)",2020,(Kikuzawa et al)
Lobophyllia hemprichii,Lobophyllia,Lobophyllia,9.7,1,NA,1.24,1,NA,1.21,1,NA,21.65,2,500,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1881,(as Mussa tenuidentata; Studer),2020,(Kikuzawa et al)
Lobophyllia radians,Lobophyllia,Symphyllia,NA,NA,NA,1.11,1,NA,NA,NA,NA,30,2,100,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1881,(as Symphyllia radians & S. grandis; Studer),2021,(Lee et al)
Lobophyllia recta,Lobophyllia,Symphyllia,11.8,1,NA,1.04,1,NA,1.22,1,NA,12,2,120,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1956,(as Symphyllia nobilis; Purchon),2020,(Kikuzawa et al)
Lobophyllia robusta,Lobophyllia,Lobophyllia,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.5,1,25,1,1,NA,NA,NA,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2020,(REST Survey),2020,(REST Survey)
Lobophyllia valenciennesii,Lobophyllia,Symphyllia,NA,NA,NA,1.53,1,NA,NA,NA,NA,32.5,2,15,1,1,1,NA,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2009,(as Symphyllia valenciennesii; Huang et al),2020,(Ng et al)
Madracis kirbyi,Madracis,Madracis,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25,2,125,1,1,NA,NA,NA,0,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1995,(Loo & Chou),2019,(REL Collections)
Merulina ampliata,Merulina,Merulina,22.9,11,8.635360659,1.69,1,NA,3.86,1,NA,5,2,200,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1881,(Studer),2020,(Kikuzawa et al)
Merulina scabricula,Merulina,Merulina,NA,NA,NA,1.53,1,NA,NA,NA,NA,2.65,2,300,1,1,1,NA,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1985,"(ZRC, 19850621)",2020,(Kikuzawa et al)
Micromussa amakusensis,Micromussa,Acanthastrea,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,2,60,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2019,(Ng et al),2019,(Ng et al)
Montipora aequituberculata,Montipora,Montipora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2,NA,NA,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1989,"(ZRC, 19892301)",2019,(Chow et al)
Montipora angulata,Montipora,Montipora,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,2,NA,NA,1,1,NA,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1987,"(ZRC, 19870216)",1992,"(ZRC,N322,199206)"
Montipora capricornis,Montipora,Montipora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2,NA,NA,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1988,"(ZRC, BB42, 19880620",Loo ,nd Chou 1995
Montipora corbettensis,Montipora,Montipora,NA,NA,NA,0.83,1,NA,NA,NA,NA,0.7,2,70,1,1,1,NA,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1985,"(ZRC, 19850722)",2019,(Chow et al)
Montipora crassituberculata,Montipora,Montipora,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.35,2,NA,NA,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1985,"(ZRC, 19850726)",Loo ,nd Chou 1995
Montipora danae,Montipora,Montipora,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,2,40,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1985,"(ZRC, 19850802)",2019,(Chow et al)
Montipora digitata,Montipora,Montipora,41.494,11,33.58711247,NA,NA,NA,NA,NA,NA,0.85,2,30,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1956,(as Montipora fruticosa; Purchon),2018,(Wong et al)
Montipora efflorescens,Montipora,Montipora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,2,NA,NA,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1956,(Purchon),2020,(Ng et al)
Montipora foliosa,Montipora,Montipora,32.5,1,NA,NA,NA,NA,NA,NA,NA,0.75,2,NA,NA,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1956,(as Montipora prolifera; Purchon),2018,(Wong et al)
Montipora grisea,Montipora,Montipora,NA,NA,NA,0.85,1,NA,NA,NA,NA,1,2,80,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1985,"(ZRC, 19850805)",2020,(Ng et al)
Montipora hispida,Montipora,Montipora,82,1,NA,1.04,1,NA,3.42,1,NA,1.15,2,120,1,1,1,1,1,0,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1881,(as Montipora hispida & M. expansa; Studer),2019,(Chow et al)
Montipora hoffmeisteri,Montipora,Montipora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,2,NA,NA,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1985,"(ZRC, 19850722)",2018,(Wong et al)
Montipora informis,Montipora,Montipora,NA,NA,NA,0.77,1,NA,NA,NA,NA,1.25,2,120,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1954,"(ZRC, 195407)",2019,(Chow et al)
Montipora millepora,Montipora,Montipora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,2,NA,NA,1,1,NA,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1992,"(ZRC, 199204)",,#VALUE!
Montipora mollis,Montipora,Montipora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,2,80,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1985,"(ZRC, 19850701)",2019,(Chow et al)
Montipora monasteriata,Montipora,Montipora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,2,100,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1881,(Studer),2020,(Ng et al)
Montipora peltiformis,Montipora,Montipora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2,NA,NA,1,1,1,1,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1985,"(ZRC, 19850805)",1985,"(ZRC, 19850805)"
Montipora samarensis,Montipora,Montipora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,2,25,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2019,(REST Survey),2020,(REL Collections)
Montipora spongodes,Montipora,Montipora,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05,2,15,1,1,1,NA,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1986,"(ZRC, 19850719)",2009,(Huang et al)
Montipora spumosa,Montipora,Montipora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2,NA,NA,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1986,"(ZRC, 19860418)",2009,(Huang et al)
Montipora stellata,Montipora,Montipora,NA,NA,NA,1.14,1,NA,NA,NA,NA,0.75,2,200,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1956,(as Montipora solanderi; Purchon),2020,(Ng et al)
Montipora tuberculosa,Montipora,Montipora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2,NA,NA,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1985,"(ZRC, 19850721)",2020,(Ng et al)
Montipora turgescens,Montipora,Montipora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,2,NA,NA,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1985,"(ZRC, 19850510)",2021,(Lee et al)
Montipora undata,Montipora,Montipora,26,1,NA,NA,NA,NA,NA,NA,NA,1,2,70,1,1,1,NA,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1985,"(ZRC, 19850802)",2019,(Chow et al)
Montipora venosa,Montipora,Montipora,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,2,NA,NA,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1995,(Loo & Chou),,#VALUE!
Montipora verrucosa,Montipora,Montipora,27.65115385,13,11.40614505,1.02,1,NA,2.82,1,NA,1.1,2,40,1,1,1,1,1,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1992,"(ZRC, 199203)",2018,(Wong et al)
Mycedium elephantotus,Mycedium,Mycedium,NA,NA,NA,1.54,1,NA,NA,NA,NA,8.75,2,300,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1956,(as Mycedium tubifex; Purchon),2020,(Kikuzawa et al)
Oulastrea crispata,Oulastrea,Oulastrea,12.5,1,NA,NA,NA,NA,NA,NA,NA,4.55,2,NA,NA,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1956,(Purchon),2021,(Lee et al)
Oulophyllia bennettae,Oulophyllia,Oulophyllia,6.2,1,NA,0.93,1,NA,0.58,1,NA,15.1,2,50,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2005,(Guest et al (b)),2020,(Kikuzawa et al)
Oulophyllia crispa,Oulophyllia,Oulophyllia,21,2,1.414213562,0.92,1,NA,1.93,1,NA,9.3,2,150,3,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1995,(as Oulophyllia crispata; Loo & Chou),2017,(BioBlitz_SIMP2017)
Oxypora crassispinosa,Oxypora,Oxypora,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,2,NA,NA,1,1,NA,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1995,(as Oxypora crassispinosa; Loo & Chou),1995,(as Oxypora crassispinosa; Loo & Chou)
Oxypora echinata,Oxypora,Oxypora,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.45,2,NA,NA,1,1,NA,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1995,(Loo & Chou),2018,(Wong et al)
Oxypora lacera,Oxypora,Oxypora,30,1,NA,1.61,1,NA,4.83,1,NA,7.45,2,150,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1878,(BrÃ¼ggemann),2020,(Kikuzawa et al)
Pachyseris rugosa,Pachyseris,Pachyseris,NA,NA,NA,1.34,1,NA,NA,NA,NA,3.5,2,1000,3,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1881,(as Pachyseris valenciennesii; Studer),2020,(Kikuzawa et al)
Pachyseris speciosa,Pachyseris,Pachyseris,31.7,2,NA,1.38,1,NA,4.38,1,NA,3.5,2,200,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1881,(as Pachyseris speciosa & P. levicollis; Studer),2021,(Lee et al)
Paragoniastrea australensis,Paragoniastrea,Goniastrea,3.766666667,3,1.588500341,NA,NA,NA,NA,NA,NA,9.25,2,70,1,1,1,1,NA,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1956,(as Goniastrea benhami; Purchon),2021,(Lee et al)
Paragoniastrea russelli,Paragoniastrea,Favites,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2,NA,NA,1,1,1,NA,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1995,(as Favites russelli; Loo & Chou),2017,(REL Collections)
Pavona cactus,Pavona,Pavona,28.4,4,8.689719501,1.83,1,NA,5.2,1,NA,1.2,2,1000,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1878,(as Leptoseris venusta; BrÃ¼ggemann),2020,(Kikuzawa et al)
Pavona clavus,Pavona,Pavona,15.9,33,4.870639622,1.665,4,0.172530191,2.37,1,NA,2.55,2,2000,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1995,(Loo & Chou),1995,(Loo & Chou)
Pavona decussata,Pavona,Pavona,17.6,1,NA,1.67,1,NA,2.94,1,NA,2.7,2,100,2,1,1,NA,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1881,(as Pavonia crassa; Studer),2021,(Lee et al)
Pavona explanulata,Pavona,Pavona,5.3,1,NA,1.64,1,NA,0.87,1,NA,2.65,2,180,1,1,1,NA,0,0,1,1,0,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1985,"(ZRC, 19850812)",2020,(Kikuzawa et al)
Pavona frondifera,Pavona,Pavona,28,1,NA,1.62,1,NA,4.53,1,NA,2.05,2,100,1,1,1,NA,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1881,(as Pavonia frondifera; Studer),2020,(Kikuzawa et al)
Pavona varians,Pavona,Pavona,3.8,4,0.852447457,1.965,2,0.007071068,0.75,1,NA,7,2,30,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1995,(Loo & Chou),2019,(Chow et al)
Pectinia alcicornis,Pectinia,Pectinia,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,2,40,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1986,"(ZRC, 19860429)",2020,(Kikuzawa et al)
Pectinia crassa,Pectinia,Pectinia,NA,NA,NA,0.89,1,NA,NA,NA,NA,NA,NA,80,1,1,1,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2017,(BioBlitz_SIMP2017),2020,(Kikuzawa et al)
Pectinia lactuca,Pectinia,Pectinia,NA,NA,NA,1.25,1,NA,NA,NA,NA,28.75,2,100,2,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1881,(as Tridacophyllia lactuca & T. symphylloides; Studer),2020,(Kikuzawa et al)
Pectinia paeonia,Pectinia,Pectinia,NA,NA,NA,1.33,1,NA,NA,NA,NA,32.5,2,100,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1881,(as Tridacophyllia laciniata; Studer),2021,(Lee et al)
Physogyra lichtensteini,Physogyra,Physogyra,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,2,100,1,1,1,NA,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1986,"(ZRC, 19860418)",2018,(Wong et al)
Physophyllia ayleni,Physophyllia,Pectinia,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,2,NA,NA,1,1,NA,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2009,(as Pectinia ayleni; Huang et al 2009),2019,(Chow et al)
Platygyra daedalea,Platygyra,Platygyra,22,1,NA,NA,NA,NA,NA,NA,NA,7.9,2,90,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1881,(as Coeloria daedalea; Studer),2021,(Lee et al)
Platygyra lamellina,Platygyra,Platygyra,7.4,1,NA,1.05,1,NA,0.78,1,NA,8.6,2,80,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1956,(Purchon),2020,(Kikuzawa et al)
Platygyra pini,Platygyra,Platygyra,NA,NA,NA,0.96,1,NA,NA,NA,NA,5.95,2,60,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1995,(Loo & Chou),2021,(Lee et al)
Platygyra ryukyuensis,Platygyra,Platygyra,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.45,2,NA,NA,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2005,(Guest et al (b)),2009,(Huang et al)
Platygyra sinensis,Platygyra,Platygyra,12.3,4,3.066485502,0.99,1,NA,1.22,1,NA,5,2,100,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1881,(as Coeloria stricta & C. sinensis; Studer),2021,(Lee et al)
Platygyra verweyi,Platygyra,Platygyra,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,2,40,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1995,(Loo & Chou),2021,(Lee et al)
Plerogyra sinuosa,Plerogyra,Plerogyra,NA,NA,NA,0.96,1,NA,NA,NA,NA,22.5,2,120,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1881,(as Plerogyra laxa; Studer),2020,(Kikuzawa et al)
Plesiastrea versipora,Plesiastrea,Plesiastrea,4.1375,8,2.529786835,1.08,1,NA,0.45,1,NA,3.75,2,300,3,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2017,(BioBlitz_SIMP2017),2020,(Quek et al)
Pleuractis granulosa,Pleuractis,Fungia,5.725658915,129,3.269147405,NA,NA,NA,NA,NA,NA,120,1,13.5,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1986,91 (consolidated by Hoeksema & Koh 2009),1986,91 (consolidated by Hoeksema & Koh 2009)
Pleuractis moluccensis,Pleuractis,Fungia,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,1,17,1,0,1,NA,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1860, (record consolidated by Hoeksema & Koh 2009),2020,(Prasetia et al)
Pleuractis paumotensis,Pleuractis,Fungia,NA,NA,NA,NA,NA,NA,NA,NA,NA,235,1,25,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1860, (record consolidated by Hoeksema & Koh 2009),2020,(Prasetia et al)
Pocillopora acuta,Pocillopora,Pocillopora,51.1,49,20.53383413,1.9683,4,0.180092569,5.38,1,NA,0.9,2,200,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1881,(as Pocillopora damicornis and P. bulbosa; Studer),2021,(Lee et al)
Pocillopora cf. verrucosa,Pocillopora,Pocillopora,51.1,49,20.53383413,1.9683,4,0.180092569,5.38,1,NA,0.9,2,200,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Stud,er 1881,2009,(Lee & Sin)
