spp,modgen,pastgen,grow,n.grow,sd.grow,skel,n.skel,sd.skel,calc,n.calc,sd.calc,corwidth,n.corwidth,cmd,n.cmd,col,repmode,sex,symb,branching,encrusting,laminar,massive,submassive,competitive,stress-tolerant,weedy,generalist,datadeficient,iucnLC,iucnNT,iucnVU,iucnEN,iucnDD,rdb3lc,rdb3nt,rdb3vu,rdb3en,rdb3cr,rdb3nex,rdb3dd,First.known.year,First.known,Last.known.year,Last.known
Fimbriaphyllia divisa,Fimbriaphyllia,Euphyllia,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,1,100,2,1,1,NA,NA,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1986,"(ZRC, 19860506)",2019,(Chow et al)
Fimbriaphyllia paraancora,Fimbriaphyllia,Euphyllia,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5,2,NA,NA,1,1,NA,NA,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2020,(Lim et al),2020,(Lim et al)
Fimbriaphyllia paradivisa,Fimbriaphyllia,Euphyllia,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5,2,NA,NA,1,NA,NA,NA,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2020,(Ng et al),2020,(Lim et al)
Fungia fungites,Fungia,Fungia,2,1,NA,1.99,1,NA,0.405,2,NA,158,1,28,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1860, (record consolidated by Hoeksema & Koh 2009),2020,(Prasetia et al)
Galaxea astreata,Galaxea,Galaxea,NA,NA,NA,0.87,1,NA,NA,NA,NA,3.55,2,300,4,1,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1881,(as Galaxea clavus; Studer),2020,(Lim et al)
Galaxea fascicularis,Galaxea,Galaxea,NA,NA,NA,1.03,1,NA,NA,NA,NA,8.25,2,500,3,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1881,(Studer),2020,(Kikuzawa et al)
Gardineroseris planulata,Gardineroseris,Gardineroseris,9.9,3,3.576310948,1.63,1,NA,1.61,1,NA,3.2,2,NA,NA,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1995,(as Gardineroseris sp.; Loo & Chou),1995,(as Gardineroseris sp.; Loo & Chou)
Goniastrea edwardsi,Goniastrea,Goniastrea,9.8625,4,2.271334043,1.3,1,NA,1.28,1,NA,3.75,2,100,2,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1881,(as Goniastraea capitata; Studer),2019,(Chow et al)
Goniastrea favulus,Goniastrea,Goniastrea,4.05,2,0.353553391,NA,NA,NA,NA,NA,NA,5.75,2,60,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1995,(Loo & Chou),2020,(Ng et al)
Goniastrea minuta,Goniastrea,Goniastrea,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,2,NA,NA,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2005,(Guest et al (b)),2015,(Ng et al)
