spp,modgen,pastgen,grow,n.grow,sd.grow,skel,n.skel,sd.skel,calc,n.calc,sd.calc,corwidth,n.corwidth,cmd,n.cmd,col,repmode,sex,symb,gf.branching,gf.encrusting,gf.laminar,gf.massive,gf.submassive,lh.competitive,lh.stress-tolerant,lh.weedy,lh.generalist,lh.datadeficient
Fimbriaphyllia divisa,Fimbriaphyllia,Euphyllia,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,1,100,2,1,1,NA,NA,0,0,0,1,0,0,0,0,0,1
Fimbriaphyllia paraancora,Fimbriaphyllia,Euphyllia,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5,2,NA,NA,1,1,NA,NA,0,0,0,1,0,0,0,0,0,1
Fimbriaphyllia paradivisa,Fimbriaphyllia,Euphyllia,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5,2,NA,NA,1,NA,NA,NA,0,0,0,1,0,0,0,0,0,1
Fungia fungites,Fungia,Fungia,2,1,NA,1.99,1,NA,0.405,2,NA,158,1,28,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0
Galaxea astreata,Galaxea,Galaxea,NA,NA,NA,0.87,1,NA,NA,NA,NA,3.55,2,300,4,1,1,0,0,0,1,0,0,2,0,1,0,0,0
Galaxea fascicularis,Galaxea,Galaxea,NA,NA,NA,1.03,1,NA,NA,NA,NA,8.25,2,500,3,1,1,0,0,0,0,0,1,0,0,1,0,0,0
Gardineroseris planulata,Gardineroseris,Gardineroseris,9.9,3,3.576310948,1.63,1,NA,1.61,1,NA,3.2,2,NA,NA,1,1,0,0,0,1,1,1,0,0,1,0,0,0
Goniastrea edwardsi,Goniastrea,Goniastrea,9.8625,4,2.271334043,1.3,1,NA,1.28,1,NA,3.75,2,100,2,1,1,1,0,0,0,0,1,0,0,1,0,0,0
Goniastrea favulus,Goniastrea,Goniastrea,4.05,2,0.353553391,NA,NA,NA,NA,NA,NA,5.75,2,60,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0
Goniastrea minuta,Goniastrea,Goniastrea,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,2,NA,NA,1,1,1,0,0,1,0,0,1,0,0,0,0,1
Goniastrea pectinata,Goniastrea,Goniastrea,12,1,NA,1.27,1,NA,1.52,1,NA,10,2,150,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1
Goniastrea retiformis,Goniastrea,Goniastrea,7.4,6,0.845281018,1.445,2,NA,0.88,1,NA,5,2,100,2,1,1,1,0,0,1,0,1,1,0,1,0,0,0
Goniastrea stelligera,Goniastrea,Favia,10,1,NA,NA,NA,NA,NA,NA,NA,4.15,2,NA,NA,1,1,1,0,0,1,0,1,1,0,1,0,0,0
Goniopora columna,Goniopora,Goniopora,NA,NA,NA,0.86,1,NA,NA,NA,NA,3.2,2,400,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1
Goniopora djiboutiensis,Goniopora,Goniopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.95,2,180,1,1,1,0,0,0,0,0,0,2,0,0,0,0,1
Goniopora eclipsensis,Goniopora,Goniopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.55,2,NA,NA,1,1,NA,0,0,0,0,0,1,0,0,0,0,1
Goniopora fruticosa,Goniopora,Goniopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,2,NA,NA,1,1,NA,0,1,1,0,0,0,0,0,0,0,1
Goniopora lobata,Goniopora,Goniopora,18.4,1,NA,1.03,1,NA,1.89,1,NA,3.5,2,60,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1
Goniopora pandoraensis,Goniopora,Goniopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.35,2,200,1,1,1,NA,0,0,0,0,0,1,0,0,0,0,1
Goniopora pedunculata,Goniopora,Goniopora,NA,NA,NA,0.94,1,NA,NA,NA,NA,2,2,300,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
Goniopora pendulus,Goniopora,Goniopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.85,2,30,1,1,1,NA,0,0,0,0,1,0,0,0,0,0,1
Goniopora somaliensis,Goniopora,Goniopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.65,2,200,2,1,1,NA,0,0,1,0,0,0,0,0,0,0,1
Goniopora stokesi,Goniopora,Goniopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,2,15,2,1,1,NA,0,0,0,0,1,1,0,0,0,0,1
Goniopora tenuidens,Goniopora,Goniopora,NA,NA,NA,0.99,1,NA,NA,NA,NA,NA,NA,15,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1
Heliofungia actiniformis,Heliofungia,Heliofungia,5.76,1,NA,NA,NA,NA,NA,NA,NA,142,1,20,1,0,1,NA,0,0,0,0,1,0,0,1,0,0,0
Herpolitha limax,Herpolitha,Herpolitha,10,1,NA,NA,NA,NA,NA,NA,NA,370,1,52,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1
Homophyllia bowerbanki,Homophyllia,Acanthastrea,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,2,200,2,1,1,NA,0,0,1,0,1,0,0,0,0,0,1
Hydnophora exesa,Hydnophora,Hydnophora,34.7,2,NA,1,1,NA,3.48,1,NA,3.75,2,200,2,1,1,1,0,0,2,1,0,1,0,0,0,1,0
Hydnophora grandis,Hydnophora,Hydnophora,NA,NA,NA,1.4,1,NA,NA,NA,NA,4,2,120,1,1,1,NA,0,1,1,0,0,0,0,0,0,0,1
